feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,label
0.24698546002364086,0.7093744517632962,0.3327890773943397,0.6468608738623576,0.4225203204986536,0.905910043643168,0.3358597754346684,0.04422013254100865,0.8522553351116079,0.49024850789333385,0
0.9487557371533073,0.39635332581103366,0.6399433641848037,0.11206032070243033,0.14834193424190434,0.8130754871227264,0.16762235578034046,0.47410356105222096,0.5718493829056757,0.37541160273353447,0
0.21676493620198634,0.2240554969210169,0.1910634049178339,0.871863911329052,0.7259529227816635,0.08741503394143935,0.5671866037650316,0.8643485751125641,0.8069981904769012,0.2560475836223022,0
0.587545932239122,0.6411468390749184,0.19923345955387384,0.5042161845041261,0.5537633162618707,0.08561727224680171,0.7892615773302308,0.7633995254056389,0.00454925482319013,0.1074501898826491,1
0.40544024636392517,0.4106349378379257,0.09167871796987948,0.7128628217984005,0.9054674207295142,0.294743106956762,0.9482228181676109,0.5379537795930966,0.803650435777878,0.6707566049761594,1
0.16399742988908517,0.7652107266190729,0.6713690740886511,0.2934169967268261,0.6982200897452052,0.801315217971666,0.16656310223461124,0.401480468831539,0.5251278445640659,0.8540910976256743,0
0.2854653359095046,0.1275344981790525,0.9679490961186478,0.4955591412331677,0.4178257774142432,0.6316111628367153,0.7011420909635687,0.5908068718301963,0.9733064144828667,0.43843197985180715,0
0.6887862417255373,0.9502557717068743,0.5554678371400905,0.6267456932243481,0.6672823779316914,0.022910466786136063,0.6331756837223302,0.604931304087824,0.40478594402884094,0.4856481210747422,1
0.01812160652924344,0.6395059238663396,0.20397014447614403,0.46413852829129054,0.3231073447949435,0.1632939423026757,0.7336781853756865,0.5444075335426997,0.525330112639565,0.3942511530708406,0
0.8389097673627586,0.9698199641558444,0.24426449236969883,0.9674327269218075,0.2764802212096922,0.26149608266171054,0.4290925412512383,0.08759301073333714,0.8398630679129092,0.026484394712729675,0
0.5640974411223995,0.6633754351516387,0.13201100546733147,0.9049395237445556,0.7867048750598503,0.21325233033788216,0.5794353876469225,0.47980347469872675,0.17613512172154633,0.5874439826307876,1
0.15757791517526942,0.525848332403768,0.8457871182931949,0.6600244141581981,0.7545595743890705,0.49366746423697605,0.021275080017609804,0.09265785170298668,0.6827157845970526,0.49872288802029874,1
0.02612838057276723,0.27621523569804507,0.6552938229881518,0.679552937208309,0.3258375946806622,0.15903494519765649,0.648023007798298,0.7875615846948503,0.4444813420831718,0.26914063592749526,0
0.15451594730462748,0.3242743663348502,0.4597880745608205,0.3062004932977449,0.7732109220336347,0.6869347204116885,0.0488253850282091,0.7411870519998528,0.7136753582219688,0.25751685179312045,0
